DATE,SPY US Equity
10/8/2018,297.2412582
10/9/2018,296.8075103
10/10/2018,287.4096385
10/11/2018,281.0789842
10/12/2018,284.9827156
10/15/2018,283.3819792
10/16/2018,289.5783782
10/17/2018,289.6300148
10/18/2018,285.4474455
10/19/2018,285.2925355
10/22/2018,284.0119464
10/23/2018,282.56612
10/24/2018,274.0047621
10/25/2018,278.9205719
10/26/2018,274.0150894
10/29/2018,272.4969717
10/30/2018,276.5349583
10/31/2018,279.4885752
11/1/2018,282.4628467
11/2/2018,280.789819
11/5/2018,282.3389187
11/6/2018,284.1255471
11/7/2018,290.2083454
11/8/2018,289.6816515
11/9/2018,286.8519626
11/12/2018,281.4920775
11/13/2018,280.9653836
11/14/2018,279.0444999
11/15/2018,281.9568074
11/16/2018,282.690048
11/19/2018,277.9084934
11/20/2018,272.7654823
11/21/2018,273.6949421
11/23/2018,271.8670045
11/26/2018,276.2561204
11/27/2018,277.1855802
11/28/2018,283.5678712
11/29/2018,282.9482313
11/30/2018,284.6728956
12/3/2018,288.4423717
12/4/2018,279.0961366
12/6/2018,278.672716
12/7/2018,272.1974791
12/10/2018,272.7138456
12/11/2018,272.7758096
12/12/2018,274.1493447
12/13/2018,274.0563988
12/14/2018,268.9960063
12/17/2018,263.7187398
12/18/2018,263.4295745
12/19/2018,259.4845339
12/20/2018,255.2606552
12/21/2018,250.0612868
12/24/2018,243.4539342
12/26/2018,255.7544146
12/27/2018,257.7179203
12/28/2018,257.3854749
12/31/2018,259.6398704
1/2/2019,259.9099823
1/3/2019,253.7077975
1/4/2019,262.2059334
1/7/2019,264.2733284
1/8/2019,266.7562801
1/9/2019,268.0029504
1/10/2019,268.948342
1/11/2019,269.0522312
1/14/2019,267.410782
1/15/2019,270.4755132
1/16/2019,271.1300151
1/17/2019,273.1870211
1/18/2019,276.8231429
1/22/2019,273.0831319
1/23/2019,273.6545225
1/24/2019,273.7999673
1/25/2019,276.1166963
1/28/2019,274.0181347
1/29/2019,273.6545225
1/30/2019,277.9867018
1/31/2019,280.4280978
2/1/2019,280.5631538
2/4/2019,282.5370485
2/5/2019,283.7213853
2/6/2019,283.3473842
2/7/2019,280.6462651
2/8/2019,280.9890995
2/11/2019,281.1449333
2/12/2019,284.7602772
2/13/2019,285.684891
2/14/2019,285.0511669
2/15/2019,288.1574538
2/19/2019,288.6561219
2/20/2019,289.2379014
2/21/2019,288.2093984
2/22/2019,289.9962925
2/25/2019,290.3910714
2/26/2019,290.183293
2/27/2019,290.058626
2/28/2019,289.5184022
3/1/2019,291.3260742
3/4/2019,290.2664044
3/5/2019,289.8716255
3/6/2019,288.1158981
3/7/2019,285.7056688
3/8/2019,285.1342783
3/11/2019,289.2690681
3/12/2019,290.3599047
3/13/2019,292.2818547
3/14/2019,292.0948542
3/15/2019,293.5317653
3/18/2019,294.5960802
3/19/2019,294.6691214
3/20/2019,293.7821924
3/21/2019,297.1003503
3/22/2019,291.3822668
3/25/2019,291.1631432
3/26/2019,293.3335106
3/27/2019,291.7996452
3/28/2019,292.9056978
3/29/2019,294.752597
4/1/2019,298.2481408
4/2/2019,298.3942232
4/3/2019,298.8637739
4/4/2019,299.6567928
4/5/2019,301.1071826
4/8/2019,301.3367407
4/9/2019,299.7924407
4/10/2019,300.8150177
4/11/2019,300.731542
4/12/2019,302.7662615
4/15/2019,302.5680068
4/16/2019,302.7662615
4/17/2019,302.0254149
4/18/2019,302.6201791
4/22/2019,302.8810406
4/23/2019,305.6044344
4/24/2019,304.9261945
4/25/2019,304.7383743
4/26/2019,306.1574607
4/29/2019,306.6374458
4/30/2019,306.7939627
5/1/2019,304.4879473
5/2/2019,303.8305764
5/3/2019,306.8043972
5/6/2019,305.5418276
5/7/2019,300.4393772
5/8/2019,300.0219988
5/9/2019,299.1142009
5/10/2019,300.616763
5/13/2019,293.0622147
5/14/2019,295.7125673
5/15/2019,297.4446875
5/16/2019,300.1993846
5/17/2019,298.2585753
5/20/2019,296.2864625
5/21/2019,298.957684
5/22/2019,298.0394516
5/23/2019,294.3978254
5/24/2019,295.0656308
5/28/2019,292.3213681
5/29/2019,290.3596898
5/30/2019,291.1527087
5/31/2019,287.2293521
6/3/2019,286.49894
6/4/2019,292.7178775
6/5/2019,295.2534511
6/6/2019,297.1733915
6/7/2019,300.1472123
6/10/2019,301.5245609
6/11/2019,301.4515197
6/12/2019,300.9193623
6/13/2019,302.1610629
6/14/2019,301.8271602
6/17/2019,301.9419393
6/18/2019,305.1035803
6/19/2019,305.7922546
6/20/2019,308.7139031
6/21/2019,308.2669327
6/24/2019,307.889463
6/25/2019,304.8697052
6/26/2019,304.5656324
6/27/2019,305.6456152
6/28/2019,307.2184057
7/1/2019,310.0074875
7/2/2019,310.8148532
7/3/2019,313.2998622
7/5/2019,312.943363
7/8/2019,311.2237788
7/9/2019,311.6117337
7/10/2019,313.1006421
7/11/2019,313.8346109
7/12/2019,315.2396371
7/15/2019,315.3444898
7/16/2019,314.2540217
7/17/2019,312.1884236
7/18/2019,313.331318
7/19/2019,311.5907632
7/22/2019,312.3561879
7/23/2019,314.5895504
7/24/2019,316.0679734
7/25/2019,314.5580946
7/26/2019,316.6656338
7/29/2019,316.0889439
7/30/2019,315.313034
7/31/2019,311.8633802
8/1/2019,309.1476953
8/2/2019,306.8199654
8/5/2019,297.592928
8/6/2019,301.7660654
8/7/2019,301.944315
8/8/2019,307.8684924
8/9/2019,305.7714384
8/12/2019,302.0491677
8/13/2019,306.7465685
8/14/2019,297.6768101
8/15/2019,298.4632054
8/16/2019,302.8670187
8/19/2019,306.5158926
8/20/2019,304.1671922
8/21/2019,306.6417158
8/22/2019,306.5473484
8/23/2019,298.6729108
8/26/2019,301.9757708
8/27/2019,300.7909353
8/28/2019,302.9089598
8/29/2019,306.7780244
8/30/2019,306.6417158
9/3/2019,304.8487347
9/4/2019,308.3088737
9/5/2019,312.2723057
9/6/2019,312.5134669
9/9/2019,312.670746
9/10/2019,312.5973491
