Days Coefficient,Swap Threshold,Trade Threshold,Annualized Return,Standard Deviation,Downside Deviation,Max Drawdown,Swap Count,Trade Days Count
5,0.005,0.05,8.91,26.93,22.15,-49.53,2746,1145
40,0.005,0.03,8.91,26.46,22.22,-51.0,3096,1388
50,0.005,0.05,8.89,26.38,21.91,-49.64,2819,1162
40,0.015,0.015,8.88,26.47,22.18,-50.07,2888,1560
5,0.002,0.05,8.86,26.98,22.2,-49.47,2858,1148
20,0.015,0.05,8.86,26.65,22.11,-50.91,2516,1191
15,0.005,0.015,8.86,26.77,22.17,-50.59,3259,1550
40,0.002,0.015,8.85,26.49,22.24,-50.7,3443,1557
50,0.01,0.03,8.85,26.28,21.86,-49.37,2914,1390
60,0.015,0.05,8.84,26.23,21.74,-49.02,2527,1175
40,0.015,0.02,8.84,26.47,22.19,-50.07,2843,1516
40,0.002,0.03,8.82,26.48,22.22,-50.5,3251,1394
10,0.005,0.02,8.81,26.77,22.05,-49.68,3188,1491
10,0.01,0.02,8.81,26.81,22.02,-49.53,2999,1486
0,0.005,0.05,8.8,27.02,22.13,-49.38,2738,1142
150,0.002,0.04,8.79,25.32,21.31,-45.24,2923,1246
0,0.01,0.02,8.78,26.97,21.97,-48.48,2978,1476
10,0.015,0.05,8.78,26.84,22.19,-49.99,2476,1160
40,0.005,0.02,8.77,26.47,22.27,-51.19,3231,1511
5,0.015,0.04,8.77,26.9,22.07,-49.49,2577,1274
150,0.015,0.03,8.77,25.31,21.22,-45.17,2661,1372
15,0.015,0.02,8.77,26.76,22.15,-50.47,2813,1502
10,0.005,0.04,8.76,26.76,22.09,-49.85,2909,1249
60,0.01,0.05,8.73,26.21,21.77,-48.89,2667,1163
0,0.01,0.015,8.73,26.94,21.93,-48.42,3027,1539
40,0.005,0.04,8.68,26.5,22.22,-51.01,2947,1269
15,0.01,0.05,8.68,26.81,22.17,-51.02,2649,1172
150,0.01,0.04,8.67,25.3,21.28,-45.08,2691,1259
10,0.01,0.015,8.65,26.83,22.15,-49.9,3043,1537
10,0.005,0.03,8.64,26.78,22.07,-49.77,3052,1368
5,0.015,0.05,8.62,26.93,22.17,-49.55,2459,1152
10,0.005,0.015,8.62,26.79,22.16,-49.99,3234,1539
50,0.01,0.05,8.61,26.37,21.85,-49.48,2661,1167
5,0.01,0.05,8.59,26.95,22.19,-49.47,2607,1151
15,0.015,0.05,8.57,26.77,22.15,-50.74,2505,1180
70,0.005,0.05,8.54,26.18,21.9,-48.75,2807,1155
40,0.015,0.03,8.52,26.47,22.16,-50.23,2734,1402
0,0.01,0.04,8.52,26.94,22.02,-48.99,2721,1257
15,0.005,0.03,8.51,26.76,22.18,-50.35,3089,1384
40,0.005,0.015,8.48,26.48,22.26,-51.19,3271,1555
10,0.01,0.03,8.46,26.84,22.19,-49.72,2888,1374
150,0.005,0.05,8.44,25.33,21.37,-45.28,2706,1152
15,0.005,0.05,8.43,26.81,22.25,-50.8,2800,1159
150,0.01,0.05,8.42,25.3,21.34,-45.11,2584,1160
70,0.002,0.05,8.41,26.16,21.92,-48.76,2899,1159
10,0.005,0.05,8.37,26.87,22.11,-49.61,2762,1143
0,0.015,0.03,8.36,26.98,21.88,-48.87,2692,1395
0,0.015,0.015,8.35,26.94,21.85,-48.75,2833,1543
150,0.002,0.05,8.34,25.31,21.34,-45.35,2773,1137
30,0.015,0.05,8.34,26.67,22.22,-51.37,2504,1186
10,0.01,0.05,8.33,26.87,22.22,-49.86,2623,1163
40,0.01,0.03,8.32,26.49,22.18,-50.74,2896,1389
10,0.01,0.04,8.32,26.79,22.19,-50.09,2760,1269
40,0.002,0.05,8.3,26.51,22.23,-50.82,2955,1181
150,0.015,0.04,8.3,25.32,21.28,-45.17,2559,1268
15,0.015,0.03,8.26,26.74,22.16,-50.31,2711,1391
0,0.015,0.02,8.18,26.98,21.93,-48.8,2789,1488
15,0.01,0.03,8.14,26.76,22.13,-50.48,2884,1379
40,0.01,0.015,8.13,26.51,22.23,-50.73,3060,1554
40,0.01,0.02,8.11,26.51,22.23,-50.73,3019,1511
40,0.015,0.04,8.07,26.51,22.15,-50.3,2615,1285
0,0.015,0.04,8.05,26.99,22.03,-49.29,2571,1270
0,0.01,0.05,7.91,27.01,22.12,-49.28,2587,1148
150,0.015,0.05,7.85,25.32,21.29,-45.16,2471,1172
40,0.01,0.04,7.79,26.55,22.17,-50.85,2761,1265
0,0.015,0.05,7.66,27.02,22.14,-49.3,2452,1150
40,0.005,0.05,7.53,26.49,22.21,-51.36,2827,1181
40,0.015,0.05,7.33,26.52,22.14,-50.19,2502,1184
40,0.01,0.05,6.81,26.55,22.15,-51.07,2633,1166
